[System: 192.168.1.98] ERROR | 06-12-2025 11:42:37.749 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.98] INFO | 06-12-2025 11:43:12.776 | Common:: DecodeBase64 START
[System: 192.168.1.98] INFO | 06-12-2025 11:43:12.776 | Common:: deCodeLevel1 START
[System: 192.168.1.98] INFO | 06-12-2025 11:43:12.776 | Common:: DecodeBase64 START
[System: 192.168.1.98] ERROR | 06-12-2025 11:43:12.901 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.98] ERROR | 06-12-2025 11:43:31.774 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.98] ERROR | 06-12-2025 11:43:31.805 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.98] ERROR | 06-12-2025 11:43:31.821 | setAuditPrint:: setAuditPrint
[System: 192.168.1.98] ERROR | 06-12-2025 11:43:31.836 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.98] ERROR | 06-12-2025 11:43:31.868 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.98] ERROR | 06-12-2025 11:43:31.883 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.98] ERROR | 06-12-2025 11:43:31.930 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.98] ERROR | 06-12-2025 11:43:31.946 | GetCostCenterSummary:: GetCostCenterSummary
[System: 192.168.1.98] ERROR | 06-12-2025 11:43:31.977 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.98] ERROR | 06-12-2025 11:43:39.677 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.98] ERROR | 06-12-2025 11:43:39.692 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.98] INFO | 06-12-2025 11:43:39.708 | Administration:: Inside getRoles
[System: 192.168.1.98] ERROR | 06-12-2025 11:43:39.723 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.98] ERROR | 06-12-2025 11:43:39.755 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.98] ERROR | 06-12-2025 11:43:39.770 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.98] ERROR | 06-12-2025 11:43:39.786 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.98] INFO | 06-12-2025 11:44:03.843 | Common:: DecodeBase64 START
[System: 192.168.1.98] INFO | 06-12-2025 11:44:03.859 | Common:: deCodeLevel1 START
[System: 192.168.1.98] INFO | 06-12-2025 11:44:03.859 | Common:: DecodeBase64 START
[System: 192.168.1.98] ERROR | 06-12-2025 11:44:03.937 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.98] INFO | 06-12-2025 11:44:03.953 | Common:: DecodeBase64 START
[System: 192.168.1.98] INFO | 06-12-2025 11:44:03.953 | Common:: deCodeLevel1 START
[System: 192.168.1.98] INFO | 06-12-2025 11:44:03.953 | Common:: DecodeBase64 START
[System: 192.168.1.98] ERROR | 06-12-2025 11:44:04.202 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.98] ERROR | 06-12-2025 11:44:04.218 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.98] INFO | 06-12-2025 11:45:24.080 | Common:: DecodeBase64 START
